CustomerID,Age,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,NumDealsPurchases,Kidhome,Teenhome,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,Education,Marital_Status,CustomerTenureDays,Cluster
1,32,34433.47,39,312.81,37.5,62.99,53.28,24.47,22.26,2,2,4,5,2,0,1,0,0,0,0,0,0,Graduation,Married,1800,2
2,25,26561.49,29,269.6,10.0,79.38,13.69,10.02,29.1,2,0,4,5,3,0,1,1,0,0,0,0,0,PhD,Single,2395,0
3,24,23590.25,77,323.44,14.59,97.99,54.93,37.8,0.57,1,0,7,6,4,1,0,0,0,0,1,0,0,2n Cycle,Together,591,0
4,27,24812.62,0,432.0,31.25,159.55,7.94,28.82,62.75,1,1,2,3,2,1,0,0,0,0,0,0,0,Basic,Together,1416,0
5,34,67322.74,60,679.62,27.66,217.77,73.55,41.08,80.22,8,4,15,2,3,1,0,1,0,1,0,0,0,Basic,Together,962,1
6,25,34082.97,94,244.58,10.06,156.65,35.7,41.69,31.06,3,4,1,4,5,2,2,1,1,0,0,0,0,PhD,Widow,1695,0
7,27,31237.14,2,346.01,30.97,30.67,58.77,21.15,28.94,6,2,6,8,1,2,1,0,0,0,0,0,0,Graduation,Single,2220,0
8,25,32019.49,13,297.51,47.47,129.66,52.34,7.42,25.37,4,3,3,5,6,2,1,1,0,1,0,0,0,Basic,Widow,1524,0
9,52,17357.25,11,320.43,11.94,108.03,28.49,19.49,33.98,4,2,4,10,2,2,1,0,1,0,0,0,1,PhD,Widow,3581,2
10,35,92101.07,50,991.48,130.36,461.2,134.06,31.63,120.0,7,4,4,3,4,0,1,0,0,0,0,0,0,Basic,Together,333,3
11,41,30461.05,94,145.05,22.54,145.64,53.12,19.71,39.09,1,1,3,6,0,2,1,0,0,0,0,0,0,PhD,Together,1710,2
12,42,101897.33,43,1032.87,48.15,300.97,94.04,49.31,65.14,4,2,2,6,1,0,0,1,0,1,0,0,0,2n Cycle,Married,2701,3
13,24,32786.54,52,326.88,34.98,208.14,46.03,30.23,40.15,3,2,3,9,2,2,0,0,0,0,0,0,0,2n Cycle,Single,1295,0
14,60,26410.92,57,168.13,20.02,27.33,24.48,11.88,24.23,1,1,3,4,0,1,1,0,0,0,0,0,0,Graduation,Divorced,3520,2
15,31,40454.81,38,128.04,15.18,43.69,59.91,13.08,18.77,2,2,4,9,1,2,2,1,0,0,0,0,0,Basic,Single,819,0
16,44,20473.7,40,244.81,15.76,124.23,30.4,13.48,30.18,2,0,2,3,2,1,0,0,0,0,0,0,1,Basic,Divorced,3183,2
17,25,88853.35,58,775.71,35.34,109.28,65.2,40.57,83.36,5,6,11,9,3,0,1,1,1,0,0,1,0,Basic,Married,170,1
18,38,18443.58,30,111.2,7.81,96.04,25.88,22.83,22.79,4,1,0,3,3,2,2,0,0,0,1,0,0,Master,Widow,1937,0
19,33,38092.09,41,131.59,11.92,146.05,13.67,13.86,9.99,2,1,5,7,3,2,1,0,0,0,0,0,0,2n Cycle,Together,883,2
20,43,91610.93,54,792.9,46.41,354.03,157.45,13.77,60.53,7,4,7,3,4,0,0,0,1,0,0,0,0,PhD,Married,3074,1
21,33,33433.52,99,392.76,15.89,72.24,44.28,20.63,54.63,4,0,3,5,2,1,1,0,0,0,0,0,0,PhD,Married,838,0
22,44,95744.51,85,940.11,106.87,304.35,152.21,66.7,192.13,3,3,8,7,1,0,1,1,1,0,0,0,0,2n Cycle,Widow,1378,3
23,33,82581.61,46,761.02,48.94,397.99,104.37,51.11,129.92,5,2,7,4,3,0,1,1,0,1,1,0,0,Basic,Widow,1133,1
